loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,state
2015-02-08 21:18:56.588,1,1423459136.162377,37.77941328476908,-122.4388696813234,63.28177,0.46,68.203125,4,10,-9999,2622.665066375,-0.036956787109375,-0.3825531005859375,-0.800140380859375,2622.640308416667,0.1845373561504246,-0.04393629903190926,0.07417010162314282,2622.640308416667,2.710342145090604,-0.01677840844477431,0.3854788056045538,0.1774471551179886,-0.03087517246603966,0.1118768006563187,0.00794757716357708,-0.0195812564343214,0.02242008782923222,XArbitraryZVertical,0.04902498885883438,0.1853443008980221,0.9583772434090521,0.2115587386701333,-0.01554645411670208,-0.3760028481483459,-0.9264881014823914,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:18:56.653,2,1423459136.162377,37.77941328476908,-122.4388696813234,63.28177,0.46,68.203125,4,10,-9999,2622.723939083333,-0.088287353515625,-0.3557891845703125,-0.8369293212890625,2622.712801833333,-0.2575295416234254,-0.07045286137361022,-0.08093772658525218,2622.712801833333,2.712777287253603,-0.0337891769514375,0.3893858717827791,-0.2645469903945923,-0.05746620520949364,-0.04316971451044083,-0.03136821836233139,-0.03454897925257683,0.09999881684780121,XArbitraryZVertical,0.05735258107587654,0.1854818916055615,0.9578100991465713,0.2119126312969765,-0.03125385195016861,-0.3796203434467316,-0.9246143102645874,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:18:56.672,3,1423459136.162377,37.77941328476908,-122.4388696813234,63.28177,0.46,68.203125,4,10,-9999,2622.782809916667,-0.054168701171875,-0.3820343017578125,-0.92523193359375,2622.785295166667,-0.5752782154996136,0.2394392209707351,-0.4306893409648135,2622.749048375,2.710298499648748,-0.02145052822872866,0.3744718635839217,-0.5362010598182678,0.5674515962600708,-0.1820001602172852,-0.04560451954603195,-0.04066732153296471,0.07111182063817978,XArbitraryZVertical,0.05012222936930402,0.1795671204633097,0.9592830603237721,0.2121778064441244,-0.0199624951928854,-0.3657810389995575,-0.930486798286438,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:18:56.755,4,1423459136.162377,37.77941328476908,-122.4388696813234,63.28177,0.46,68.203125,4,10,-9999,2622.841686375,0.017059326171875,-0.3414306640625,-0.955596923828125,2622.821541958333,-0.5561434030673942,0.3250617142295457,-0.4145372689534829,2622.821541958333,2.682485000779562,0.01286088140500696,0.334256529899937,-0.5631572008132935,0.3380397260189056,-0.3767670392990112,-0.01539887674152851,-0.04497993737459183,0.05524835363030434,XArbitraryZVertical,0.03167684083703066,0.1634270476126219,0.9604236184447477,0.2233263329675227,0.01214875467121601,-0.3280669450759888,-0.9445763826370239,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:18:56.791,5,1423459136.162377,37.77941328476908,-122.4388696813234,63.28177,0.46,68.203125,4,10,-9999,2622.900585583333,0.02886962890625,-0.3131256103515625,-1.067733764648438,2622.894035375,-0.4084183900329169,-0.1339282406912128,-0.4362417655215197,2622.857788375,2.669948676245667,0.02634396387961965,0.3144661699403321,-0.5028249025344849,0.1133101135492325,-0.3748719692230225,-0.01754187792539597,-0.04167380183935165,-0.03067631646990776,XArbitraryZVertical,0.02393288392560658,0.1552784081405538,0.9607269382561023,0.2287347440626591,0.02504920214414597,-0.3093088567256927,-0.9506316781044006,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:18:56.854,6,1423459136.162377,37.77941328476908,-122.4388696813234,63.28177,0.46,68.203125,4,10,-9999,2622.95946025,0.0267333984375,-0.318634033203125,-0.8564300537109375,2622.966528333333,0.3056315572324366,-0.01298051346915522,-0.4258977815315429,2622.930281916667,2.639997081977602,0.02979728901194629,0.3010844965366978,0.4732619524002075,-0.04229557886719704,-0.4142856597900391,-0.003306175814941525,-0.01843109168112278,-0.09341265261173248,XArbitraryZVertical,0.02294723814640675,0.1489217062961901,0.9582066919840297,0.2431782989748915,0.02845266088843346,-0.2965560853481293,-0.9545915126800537,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:18:56.922,7,1423459136.162377,37.77941328476908,-122.4388696813234,63.28177,0.46,68.203125,4,10,-9999,2623.018368,0.02349853515625,-0.31878662109375,-0.871490478515625,2623.002775166667,0.3421709263366507,0.04587694451824999,-0.3344858423790091,2623.002775166667,2.611037821236171,0.0395419212386809,0.3257587635163947,0.3351599872112274,0.05885480344295502,-0.2967171669006348,-0.005256532691419125,0.01970425061881542,0.03114026039838791,XArbitraryZVertical,0.02368073393606281,0.1615717206483297,0.9529016360347083,0.2555626615321181,0.0374525785446167,-0.3200277388095856,-0.9466676115989685,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:18:56.970,8,1423459136.162377,37.77941328476908,-122.4388696813234,63.28177,0.46,68.203125,4,10,-9999,2623.077229875,-0.1695098876953125,-0.305145263671875,-0.7100067138671875,2623.075268333333,0.1038819246407208,-0.1276623552784744,-0.1082758741232426,2623.075268333333,2.608976297467256,0.03079235420259259,0.3458306875979755,0.09687301516532898,-0.1146862506866455,-0.07050714641809464,-0.1771122664213181,0.02035952545702457,0.207010805606842,XArbitraryZVertical,0.03064323601723792,0.1699614261388278,0.9509465657587971,0.2566607386859429,0.02896469086408615,-0.3389782905578613,-0.940348207950592,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:18:57.054,9,1423459136.162377,37.77941328476908,-122.4388696813234,63.28177,0.46,68.203125,4,10,-9999,2623.136117458334,-0.1103057861328125,-0.290863037109375,-0.655242919921875,2623.111515375,-0.1747545002021275,0.2583830847527958,0.001129712934411613,2623.111515375,2.607968742430592,0.03642760821854101,0.3443706841512967,-0.1817633509635925,0.2713591158390045,0.03889814391732216,-0.1533761471509933,0.06109986081719398,0.3560231328010559,XArbitraryZVertical,0.02785790555092646,0.1699768178366785,0.951017382823364,0.256705582456339,0.03428129106760025,-0.3376043736934662,-0.9406636357307434,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:18:57.086,10,1423459136.162377,37.77941328476908,-122.4388696813234,63.28177,0.46,68.203125,4,10,-9999,2623.195010916667,0.0196533203125,-0.26959228515625,-1.07965087890625,2623.184008375,-1.531360503689112,-1.064072138811667,-0.394843725324565,2623.184008375,2.602495333116663,0.00652775357473908,0.2857669038488969,-1.538369297981262,-1.051096320152283,-0.3570757806301117,-0.06368180364370346,0.01317080296576023,0.115660049021244,XArbitraryZVertical,0.03480585776140632,0.1381155249476223,0.9541873497515158,0.2631333418784687,0.006262980867177248,-0.2818933427333832,-0.9594253301620483,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
